Statistic Label,Year,Nationality of Ownership,VALUE
Estimated Capital Expenditure - Software development by company in-house and used in-house,2008,All nationalities of ownership,
Estimated Capital Expenditure - Software development by company in-house and used in-house,2008,Irish ownership,
Estimated Capital Expenditure - Software development by company in-house and used in-house,2008,Non Irish ownership,
Estimated Capital Expenditure - Software development by company in-house and used in-house,2009,All nationalities of ownership,
Estimated Capital Expenditure - Software development by company in-house and used in-house,2009,Irish ownership,
Estimated Capital Expenditure - Software development by company in-house and used in-house,2009,Non Irish ownership,
Estimated Capital Expenditure - Software development by company in-house and used in-house,2010,All nationalities of ownership,1947
Estimated Capital Expenditure - Software development by company in-house and used in-house,2010,Irish ownership,1701
Estimated Capital Expenditure - Software development by company in-house and used in-house,2010,Non Irish ownership,246
Estimated Capital Expenditure - Software development by company in-house and used in-house,2011,All nationalities of ownership,
Estimated Capital Expenditure - Software development by company in-house and used in-house,2011,Irish ownership,
Estimated Capital Expenditure - Software development by company in-house and used in-house,2011,Non Irish ownership,
Estimated Capital Expenditure - Software development by company in-house and used in-house,2012,All nationalities of ownership,6612
Estimated Capital Expenditure - Software development by company in-house and used in-house,2012,Irish ownership,1821
Estimated Capital Expenditure - Software development by company in-house and used in-house,2012,Non Irish ownership,4791
Estimated Capital Expenditure - Software development by company in-house and used in-house,2013,All nationalities of ownership,
Estimated Capital Expenditure - Software development by company in-house and used in-house,2013,Irish ownership,
Estimated Capital Expenditure - Software development by company in-house and used in-house,2013,Non Irish ownership,
Estimated Capital Expenditure - Software development by company in-house and used in-house,2014,All nationalities of ownership,22902
Estimated Capital Expenditure - Software development by company in-house and used in-house,2014,Irish ownership,19991
Estimated Capital Expenditure - Software development by company in-house and used in-house,2014,Non Irish ownership,2911
Estimated Capital Expenditure - Software development by company in-house and used in-house,2015,All nationalities of ownership,
Estimated Capital Expenditure - Software development by company in-house and used in-house,2015,Irish ownership,
Estimated Capital Expenditure - Software development by company in-house and used in-house,2015,Non Irish ownership,
Estimated Capital Expenditure - Software development by company in-house and used in-house,2016,All nationalities of ownership,25904
Estimated Capital Expenditure - Software development by company in-house and used in-house,2016,Irish ownership,21195
Estimated Capital Expenditure - Software development by company in-house and used in-house,2016,Non Irish ownership,4709
Estimated Capital Expenditure - Software development by company in-house and used in-house,2017,All nationalities of ownership,
Estimated Capital Expenditure - Software development by company in-house and used in-house,2017,Irish ownership,
Estimated Capital Expenditure - Software development by company in-house and used in-house,2017,Non Irish ownership,
Estimated Capital Expenditure - Software development by company in-house and used in-house,2018,All nationalities of ownership,36557
Estimated Capital Expenditure - Software development by company in-house and used in-house,2018,Irish ownership,33914
Estimated Capital Expenditure - Software development by company in-house and used in-house,2018,Non Irish ownership,2642
Estimated Capital Expenditure - Software development by company in-house and used in-house,2019,All nationalities of ownership,
Estimated Capital Expenditure - Software development by company in-house and used in-house,2019,Irish ownership,
Estimated Capital Expenditure - Software development by company in-house and used in-house,2019,Non Irish ownership,
Estimated Capital Expenditure - Software development by company in-house and used in-house,2020,All nationalities of ownership,226619
Estimated Capital Expenditure - Software development by company in-house and used in-house,2020,Irish ownership,188784
Estimated Capital Expenditure - Software development by company in-house and used in-house,2020,Non Irish ownership,37835
Estimated Capital Expenditure - Software development by company in-house and used in-house,2021,All nationalities of ownership,
Estimated Capital Expenditure - Software development by company in-house and used in-house,2021,Irish ownership,
Estimated Capital Expenditure - Software development by company in-house and used in-house,2021,Non Irish ownership,
Estimated Capital Expenditure - Software development by company in-house and used in-house,2022,All nationalities of ownership,
Estimated Capital Expenditure - Software development by company in-house and used in-house,2022,Irish ownership,
Estimated Capital Expenditure - Software development by company in-house and used in-house,2022,Non Irish ownership,
Estimated Capital Expenditure - Software development by company in-house and used in-house,2023,All nationalities of ownership,
Estimated Capital Expenditure - Software development by company in-house and used in-house,2023,Irish ownership,
Estimated Capital Expenditure - Software development by company in-house and used in-house,2023,Non Irish ownership,
Estimated Capital Expenditure - Software development by company in-house and used in-house,2024,All nationalities of ownership,
Estimated Capital Expenditure - Software development by company in-house and used in-house,2024,Irish ownership,
Estimated Capital Expenditure - Software development by company in-house and used in-house,2024,Non Irish ownership,
Estimated Total Capital Expenditure,2007,All nationalities of ownership,
Estimated Total Capital Expenditure,2007,Irish ownership,
Estimated Total Capital Expenditure,2007,Non Irish ownership,
Estimated Total Capital Expenditure,2008,All nationalities of ownership,271072
Estimated Total Capital Expenditure,2008,Irish ownership,52375
Estimated Total Capital Expenditure,2008,Non Irish ownership,218698
Estimated Total Capital Expenditure,2009,All nationalities of ownership,
Estimated Total Capital Expenditure,2009,Irish ownership,
Estimated Total Capital Expenditure,2009,Non Irish ownership,
Estimated Total Capital Expenditure,2010,All nationalities of ownership,301427
Estimated Total Capital Expenditure,2010,Irish ownership,93311
Estimated Total Capital Expenditure,2010,Non Irish ownership,208115
Estimated Total Capital Expenditure,2011,All nationalities of ownership,
Estimated Total Capital Expenditure,2011,Irish ownership,
Estimated Total Capital Expenditure,2011,Non Irish ownership,
Estimated Total Capital Expenditure,2012,All nationalities of ownership,126964
Estimated Total Capital Expenditure,2012,Irish ownership,33809
Estimated Total Capital Expenditure,2012,Non Irish ownership,93155
Estimated Total Capital Expenditure,2013,All nationalities of ownership,
Estimated Total Capital Expenditure,2013,Irish ownership,
Estimated Total Capital Expenditure,2013,Non Irish ownership,
Estimated Total Capital Expenditure,2014,All nationalities of ownership,163922
Estimated Total Capital Expenditure,2014,Irish ownership,57678
Estimated Total Capital Expenditure,2014,Non Irish ownership,106244
Estimated Total Capital Expenditure,2015,All nationalities of ownership,
Estimated Total Capital Expenditure,2015,Irish ownership,
Estimated Total Capital Expenditure,2015,Non Irish ownership,
Estimated Total Capital Expenditure,2016,All nationalities of ownership,202214
Estimated Total Capital Expenditure,2016,Irish ownership,84224
Estimated Total Capital Expenditure,2016,Non Irish ownership,117990
Estimated Total Capital Expenditure,2017,All nationalities of ownership,
Estimated Total Capital Expenditure,2017,Irish ownership,
Estimated Total Capital Expenditure,2017,Non Irish ownership,
Estimated Total Capital Expenditure,2018,All nationalities of ownership,236182
Estimated Total Capital Expenditure,2018,Irish ownership,99561
Estimated Total Capital Expenditure,2018,Non Irish ownership,136621
Estimated Total Capital Expenditure,2019,All nationalities of ownership,
Estimated Total Capital Expenditure,2019,Irish ownership,
Estimated Total Capital Expenditure,2019,Non Irish ownership,
Estimated Total Capital Expenditure,2020,All nationalities of ownership,854451
Estimated Total Capital Expenditure,2020,Irish ownership,240355
Estimated Total Capital Expenditure,2020,Non Irish ownership,614096
Estimated Total Capital Expenditure,2021,All nationalities of ownership,
Estimated Total Capital Expenditure,2021,Irish ownership,
Estimated Total Capital Expenditure,2021,Non Irish ownership,
Estimated Total Capital Expenditure,2022,All nationalities of ownership,2408772
Estimated Total Capital Expenditure,2022,Irish ownership,
Estimated Total Capital Expenditure,2022,Non Irish ownership,
Estimated Total Capital Expenditure,2023,All nationalities of ownership,
Estimated Total Capital Expenditure,2023,Irish ownership,
Estimated Total Capital Expenditure,2023,Non Irish ownership,
Estimated Total Capital Expenditure,2024,All nationalities of ownership,1885354
Estimated Total Capital Expenditure,2024,Irish ownership,
Estimated Total Capital Expenditure,2024,Non Irish ownership,
Estimated Total Research and Development Expenditure,2007,All nationalities of ownership,
Estimated Total Research and Development Expenditure,2007,Irish ownership,
Estimated Total Research and Development Expenditure,2007,Non Irish ownership,
Estimated Total Research and Development Expenditure,2008,All nationalities of ownership,1686732
Estimated Total Research and Development Expenditure,2008,Irish ownership,521449
Estimated Total Research and Development Expenditure,2008,Non Irish ownership,1165283
Estimated Total Research and Development Expenditure,2009,All nationalities of ownership,
Estimated Total Research and Development Expenditure,2009,Irish ownership,
Estimated Total Research and Development Expenditure,2009,Non Irish ownership,
Estimated Total Research and Development Expenditure,2010,All nationalities of ownership,1833608
Estimated Total Research and Development Expenditure,2010,Irish ownership,583452
Estimated Total Research and Development Expenditure,2010,Non Irish ownership,1250155
Estimated Total Research and Development Expenditure,2011,All nationalities of ownership,
Estimated Total Research and Development Expenditure,2011,Irish ownership,
Estimated Total Research and Development Expenditure,2011,Non Irish ownership,
Estimated Total Research and Development Expenditure,2012,All nationalities of ownership,1859369
Estimated Total Research and Development Expenditure,2012,Irish ownership,577747
Estimated Total Research and Development Expenditure,2012,Non Irish ownership,1281622
Estimated Total Research and Development Expenditure,2013,All nationalities of ownership,
Estimated Total Research and Development Expenditure,2013,Irish ownership,
Estimated Total Research and Development Expenditure,2013,Non Irish ownership,
Estimated Total Research and Development Expenditure,2014,All nationalities of ownership,2091151
Estimated Total Research and Development Expenditure,2014,Irish ownership,754857
Estimated Total Research and Development Expenditure,2014,Non Irish ownership,1336295
Estimated Total Research and Development Expenditure,2015,All nationalities of ownership,
Estimated Total Research and Development Expenditure,2015,Irish ownership,
Estimated Total Research and Development Expenditure,2015,Non Irish ownership,
Estimated Total Research and Development Expenditure,2016,All nationalities of ownership,2292825
Estimated Total Research and Development Expenditure,2016,Irish ownership,926004
Estimated Total Research and Development Expenditure,2016,Non Irish ownership,1366821
Estimated Total Research and Development Expenditure,2017,All nationalities of ownership,
Estimated Total Research and Development Expenditure,2017,Irish ownership,
Estimated Total Research and Development Expenditure,2017,Non Irish ownership,
Estimated Total Research and Development Expenditure,2018,All nationalities of ownership,2777748
Estimated Total Research and Development Expenditure,2018,Irish ownership,967088
Estimated Total Research and Development Expenditure,2018,Non Irish ownership,1810659
Estimated Total Research and Development Expenditure,2019,All nationalities of ownership,
Estimated Total Research and Development Expenditure,2019,Irish ownership,
Estimated Total Research and Development Expenditure,2019,Non Irish ownership,
Estimated Total Research and Development Expenditure,2020,All nationalities of ownership,3391165
Estimated Total Research and Development Expenditure,2020,Irish ownership,977845
Estimated Total Research and Development Expenditure,2020,Non Irish ownership,2413320
Estimated Total Research and Development Expenditure,2021,All nationalities of ownership,
Estimated Total Research and Development Expenditure,2021,Irish ownership,
Estimated Total Research and Development Expenditure,2021,Non Irish ownership,
Estimated Total Research and Development Expenditure,2022,All nationalities of ownership,6994975
Estimated Total Research and Development Expenditure,2022,Irish ownership,1143697
Estimated Total Research and Development Expenditure,2022,Non Irish ownership,5851278
Estimated Total Research and Development Expenditure,2023,All nationalities of ownership,
Estimated Total Research and Development Expenditure,2023,Irish ownership,
Estimated Total Research and Development Expenditure,2023,Non Irish ownership,
Estimated Total Research and Development Expenditure,2024,All nationalities of ownership,6589565
Estimated Total Research and Development Expenditure,2024,Irish ownership,1012941
Estimated Total Research and Development Expenditure,2024,Non Irish ownership,5576624
Actual Current Expenditure - Labour Costs,2007,All nationalities of ownership,843847
Actual Current Expenditure - Labour Costs,2007,Irish ownership,280135
Actual Current Expenditure - Labour Costs,2007,Non Irish ownership,563712
Actual Current Expenditure - Labour Costs,2008,All nationalities of ownership,
Actual Current Expenditure - Labour Costs,2008,Irish ownership,
Actual Current Expenditure - Labour Costs,2008,Non Irish ownership,
Actual Current Expenditure - Labour Costs,2009,All nationalities of ownership,947497
Actual Current Expenditure - Labour Costs,2009,Irish ownership,307620
Actual Current Expenditure - Labour Costs,2009,Non Irish ownership,639877
Actual Current Expenditure - Labour Costs,2010,All nationalities of ownership,
Actual Current Expenditure - Labour Costs,2010,Irish ownership,
Actual Current Expenditure - Labour Costs,2010,Non Irish ownership,
Actual Current Expenditure - Labour Costs,2011,All nationalities of ownership,1006308
Actual Current Expenditure - Labour Costs,2011,Irish ownership,338246
Actual Current Expenditure - Labour Costs,2011,Non Irish ownership,668062
Actual Current Expenditure - Labour Costs,2012,All nationalities of ownership,
Actual Current Expenditure - Labour Costs,2012,Irish ownership,
Actual Current Expenditure - Labour Costs,2012,Non Irish ownership,
Actual Current Expenditure - Labour Costs,2013,All nationalities of ownership,1238903
Actual Current Expenditure - Labour Costs,2013,Irish ownership,451967
Actual Current Expenditure - Labour Costs,2013,Non Irish ownership,786936
Actual Current Expenditure - Labour Costs,2014,All nationalities of ownership,
Actual Current Expenditure - Labour Costs,2014,Irish ownership,
Actual Current Expenditure - Labour Costs,2014,Non Irish ownership,
Actual Current Expenditure - Labour Costs,2015,All nationalities of ownership,1349977
Actual Current Expenditure - Labour Costs,2015,Irish ownership,523227
Actual Current Expenditure - Labour Costs,2015,Non Irish ownership,826751
Actual Current Expenditure - Labour Costs,2016,All nationalities of ownership,
Actual Current Expenditure - Labour Costs,2016,Irish ownership,
Actual Current Expenditure - Labour Costs,2016,Non Irish ownership,
Actual Current Expenditure - Labour Costs,2017,All nationalities of ownership,1651343
Actual Current Expenditure - Labour Costs,2017,Irish ownership,549943
Actual Current Expenditure - Labour Costs,2017,Non Irish ownership,1101400
Actual Current Expenditure - Labour Costs,2018,All nationalities of ownership,
Actual Current Expenditure - Labour Costs,2018,Irish ownership,
Actual Current Expenditure - Labour Costs,2018,Non Irish ownership,
Actual Current Expenditure - Labour Costs,2019,All nationalities of ownership,1690211
Actual Current Expenditure - Labour Costs,2019,Irish ownership,468571
Actual Current Expenditure - Labour Costs,2019,Non Irish ownership,1221640
Actual Current Expenditure - Labour Costs,2020,All nationalities of ownership,
Actual Current Expenditure - Labour Costs,2020,Irish ownership,
Actual Current Expenditure - Labour Costs,2020,Non Irish ownership,
Actual Current Expenditure - Labour Costs,2021,All nationalities of ownership,2045309
Actual Current Expenditure - Labour Costs,2021,Irish ownership,582517
Actual Current Expenditure - Labour Costs,2021,Non Irish ownership,1462792
Actual Current Expenditure - Labour Costs,2022,All nationalities of ownership,
Actual Current Expenditure - Labour Costs,2022,Irish ownership,
Actual Current Expenditure - Labour Costs,2022,Non Irish ownership,
Actual Current Expenditure - Labour Costs,2023,All nationalities of ownership,2616850
Actual Current Expenditure - Labour Costs,2023,Irish ownership,
Actual Current Expenditure - Labour Costs,2023,Non Irish ownership,
Actual Current Expenditure - Labour Costs,2024,All nationalities of ownership,
Actual Current Expenditure - Labour Costs,2024,Irish ownership,
Actual Current Expenditure - Labour Costs,2024,Non Irish ownership,
Actual Current Expenditure - Other Current Costs,2007,All nationalities of ownership,480067
Actual Current Expenditure - Other Current Costs,2007,Irish ownership,130492
Actual Current Expenditure - Other Current Costs,2007,Non Irish ownership,349576
Actual Current Expenditure - Other Current Costs,2008,All nationalities of ownership,
Actual Current Expenditure - Other Current Costs,2008,Irish ownership,
Actual Current Expenditure - Other Current Costs,2008,Non Irish ownership,
Actual Current Expenditure - Other Current Costs,2009,All nationalities of ownership,595346
Actual Current Expenditure - Other Current Costs,2009,Irish ownership,164557
Actual Current Expenditure - Other Current Costs,2009,Non Irish ownership,430789
Actual Current Expenditure - Other Current Costs,2010,All nationalities of ownership,
Actual Current Expenditure - Other Current Costs,2010,Irish ownership,
Actual Current Expenditure - Other Current Costs,2010,Non Irish ownership,
Actual Current Expenditure - Other Current Costs,2011,All nationalities of ownership,600603
Actual Current Expenditure - Other Current Costs,2011,Irish ownership,157855
Actual Current Expenditure - Other Current Costs,2011,Non Irish ownership,442748
Actual Current Expenditure - Other Current Costs,2012,All nationalities of ownership,
Actual Current Expenditure - Other Current Costs,2012,Irish ownership,
Actual Current Expenditure - Other Current Costs,2012,Non Irish ownership,
Actual Current Expenditure - Other Current Costs,2013,All nationalities of ownership,635761
Actual Current Expenditure - Other Current Costs,2013,Irish ownership,193098
Actual Current Expenditure - Other Current Costs,2013,Non Irish ownership,442663
Actual Current Expenditure - Other Current Costs,2014,All nationalities of ownership,
Actual Current Expenditure - Other Current Costs,2014,Irish ownership,
Actual Current Expenditure - Other Current Costs,2014,Non Irish ownership,
Actual Current Expenditure - Other Current Costs,2015,All nationalities of ownership,725978
Actual Current Expenditure - Other Current Costs,2015,Irish ownership,227524
Actual Current Expenditure - Other Current Costs,2015,Non Irish ownership,498454
Actual Current Expenditure - Other Current Costs,2016,All nationalities of ownership,
Actual Current Expenditure - Other Current Costs,2016,Irish ownership,
Actual Current Expenditure - Other Current Costs,2016,Non Irish ownership,
Actual Current Expenditure - Other Current Costs,2017,All nationalities of ownership,840831
Actual Current Expenditure - Other Current Costs,2017,Irish ownership,213816
Actual Current Expenditure - Other Current Costs,2017,Non Irish ownership,627015
Actual Current Expenditure - Other Current Costs,2018,All nationalities of ownership,
Actual Current Expenditure - Other Current Costs,2018,Irish ownership,
Actual Current Expenditure - Other Current Costs,2018,Non Irish ownership,
Actual Current Expenditure - Other Current Costs,2019,All nationalities of ownership,1010378
Actual Current Expenditure - Other Current Costs,2019,Irish ownership,256408
Actual Current Expenditure - Other Current Costs,2019,Non Irish ownership,753970
Actual Current Expenditure - Other Current Costs,2020,All nationalities of ownership,
Actual Current Expenditure - Other Current Costs,2020,Irish ownership,
Actual Current Expenditure - Other Current Costs,2020,Non Irish ownership,
Actual Current Expenditure - Other Current Costs,2021,All nationalities of ownership,1393645
Actual Current Expenditure - Other Current Costs,2021,Irish ownership,382944
Actual Current Expenditure - Other Current Costs,2021,Non Irish ownership,1010701
Actual Current Expenditure - Other Current Costs,2022,All nationalities of ownership,
Actual Current Expenditure - Other Current Costs,2022,Irish ownership,
Actual Current Expenditure - Other Current Costs,2022,Non Irish ownership,
Actual Current Expenditure - Other Current Costs,2023,All nationalities of ownership,1975102
Actual Current Expenditure - Other Current Costs,2023,Irish ownership,
Actual Current Expenditure - Other Current Costs,2023,Non Irish ownership,
Actual Current Expenditure - Other Current Costs,2024,All nationalities of ownership,
Actual Current Expenditure - Other Current Costs,2024,Irish ownership,
Actual Current Expenditure - Other Current Costs,2024,Non Irish ownership,
Actual Total Current Expenditure,2007,All nationalities of ownership,1323914
Actual Total Current Expenditure,2007,Irish ownership,410627
Actual Total Current Expenditure,2007,Non Irish ownership,913287
Actual Total Current Expenditure,2008,All nationalities of ownership,
Actual Total Current Expenditure,2008,Irish ownership,
Actual Total Current Expenditure,2008,Non Irish ownership,
Actual Total Current Expenditure,2009,All nationalities of ownership,1542843
Actual Total Current Expenditure,2009,Irish ownership,472177
Actual Total Current Expenditure,2009,Non Irish ownership,1070666
Actual Total Current Expenditure,2010,All nationalities of ownership,
Actual Total Current Expenditure,2010,Irish ownership,
Actual Total Current Expenditure,2010,Non Irish ownership,
Actual Total Current Expenditure,2011,All nationalities of ownership,1606911
Actual Total Current Expenditure,2011,Irish ownership,496101
Actual Total Current Expenditure,2011,Non Irish ownership,1110810
Actual Total Current Expenditure,2012,All nationalities of ownership,
Actual Total Current Expenditure,2012,Irish ownership,
Actual Total Current Expenditure,2012,Non Irish ownership,
Actual Total Current Expenditure,2013,All nationalities of ownership,1874663
Actual Total Current Expenditure,2013,Irish ownership,645065
Actual Total Current Expenditure,2013,Non Irish ownership,1229598
Actual Total Current Expenditure,2014,All nationalities of ownership,
Actual Total Current Expenditure,2014,Irish ownership,
Actual Total Current Expenditure,2014,Non Irish ownership,
Actual Total Current Expenditure,2015,All nationalities of ownership,2075955
Actual Total Current Expenditure,2015,Irish ownership,750750
Actual Total Current Expenditure,2015,Non Irish ownership,1325205
Actual Total Current Expenditure,2016,All nationalities of ownership,
Actual Total Current Expenditure,2016,Irish ownership,
Actual Total Current Expenditure,2016,Non Irish ownership,
Actual Total Current Expenditure,2017,All nationalities of ownership,2492173
Actual Total Current Expenditure,2017,Irish ownership,763759
Actual Total Current Expenditure,2017,Non Irish ownership,1728414
Actual Total Current Expenditure,2018,All nationalities of ownership,
Actual Total Current Expenditure,2018,Irish ownership,
Actual Total Current Expenditure,2018,Non Irish ownership,
Actual Total Current Expenditure,2019,All nationalities of ownership,2700588
Actual Total Current Expenditure,2019,Irish ownership,724978
Actual Total Current Expenditure,2019,Non Irish ownership,1975610
Actual Total Current Expenditure,2020,All nationalities of ownership,
Actual Total Current Expenditure,2020,Irish ownership,
Actual Total Current Expenditure,2020,Non Irish ownership,
Actual Total Current Expenditure,2021,All nationalities of ownership,3438954
Actual Total Current Expenditure,2021,Irish ownership,965461
Actual Total Current Expenditure,2021,Non Irish ownership,2473493
Actual Total Current Expenditure,2022,All nationalities of ownership,
Actual Total Current Expenditure,2022,Irish ownership,
Actual Total Current Expenditure,2022,Non Irish ownership,
Actual Total Current Expenditure,2023,All nationalities of ownership,4591952
Actual Total Current Expenditure,2023,Irish ownership,
Actual Total Current Expenditure,2023,Non Irish ownership,
Actual Total Current Expenditure,2024,All nationalities of ownership,
Actual Total Current Expenditure,2024,Irish ownership,
Actual Total Current Expenditure,2024,Non Irish ownership,
Actual Capital Expenditure - Land and Buildings,2007,All nationalities of ownership,73566
Actual Capital Expenditure - Land and Buildings,2007,Irish ownership,7410
Actual Capital Expenditure - Land and Buildings,2007,Non Irish ownership,66157
Actual Capital Expenditure - Land and Buildings,2008,All nationalities of ownership,
Actual Capital Expenditure - Land and Buildings,2008,Irish ownership,
Actual Capital Expenditure - Land and Buildings,2008,Non Irish ownership,
Actual Capital Expenditure - Land and Buildings,2009,All nationalities of ownership,49613
Actual Capital Expenditure - Land and Buildings,2009,Irish ownership,12425
Actual Capital Expenditure - Land and Buildings,2009,Non Irish ownership,37189
Actual Capital Expenditure - Land and Buildings,2010,All nationalities of ownership,
Actual Capital Expenditure - Land and Buildings,2010,Irish ownership,
Actual Capital Expenditure - Land and Buildings,2010,Non Irish ownership,
Actual Capital Expenditure - Land and Buildings,2011,All nationalities of ownership,32188
Actual Capital Expenditure - Land and Buildings,2011,Irish ownership,11740
Actual Capital Expenditure - Land and Buildings,2011,Non Irish ownership,20447
Actual Capital Expenditure - Land and Buildings,2012,All nationalities of ownership,
Actual Capital Expenditure - Land and Buildings,2012,Irish ownership,
Actual Capital Expenditure - Land and Buildings,2012,Non Irish ownership,
Actual Capital Expenditure - Land and Buildings,2013,All nationalities of ownership,29664
Actual Capital Expenditure - Land and Buildings,2013,Irish ownership,11233
Actual Capital Expenditure - Land and Buildings,2013,Non Irish ownership,18431
Actual Capital Expenditure - Land and Buildings,2014,All nationalities of ownership,
Actual Capital Expenditure - Land and Buildings,2014,Irish ownership,
Actual Capital Expenditure - Land and Buildings,2014,Non Irish ownership,
Actual Capital Expenditure - Land and Buildings,2015,All nationalities of ownership,28909
Actual Capital Expenditure - Land and Buildings,2015,Irish ownership,8093
Actual Capital Expenditure - Land and Buildings,2015,Non Irish ownership,20815
Actual Capital Expenditure - Land and Buildings,2016,All nationalities of ownership,
Actual Capital Expenditure - Land and Buildings,2016,Irish ownership,
Actual Capital Expenditure - Land and Buildings,2016,Non Irish ownership,
Actual Capital Expenditure - Land and Buildings,2017,All nationalities of ownership,82480
Actual Capital Expenditure - Land and Buildings,2017,Irish ownership,15357
Actual Capital Expenditure - Land and Buildings,2017,Non Irish ownership,67122
Actual Capital Expenditure - Land and Buildings,2018,All nationalities of ownership,
Actual Capital Expenditure - Land and Buildings,2018,Irish ownership,
Actual Capital Expenditure - Land and Buildings,2018,Non Irish ownership,
Actual Capital Expenditure - Land and Buildings,2019,All nationalities of ownership,36597
Actual Capital Expenditure - Land and Buildings,2019,Irish ownership,5380
Actual Capital Expenditure - Land and Buildings,2019,Non Irish ownership,31217
Actual Capital Expenditure - Land and Buildings,2020,All nationalities of ownership,
Actual Capital Expenditure - Land and Buildings,2020,Irish ownership,
Actual Capital Expenditure - Land and Buildings,2020,Non Irish ownership,
Actual Capital Expenditure - Land and Buildings,2021,All nationalities of ownership,70011
Actual Capital Expenditure - Land and Buildings,2021,Irish ownership,32585
Actual Capital Expenditure - Land and Buildings,2021,Non Irish ownership,37426
Actual Capital Expenditure - Land and Buildings,2022,All nationalities of ownership,
Actual Capital Expenditure - Land and Buildings,2022,Irish ownership,
Actual Capital Expenditure - Land and Buildings,2022,Non Irish ownership,
Actual Capital Expenditure - Land and Buildings,2023,All nationalities of ownership,
Actual Capital Expenditure - Land and Buildings,2023,Irish ownership,
Actual Capital Expenditure - Land and Buildings,2023,Non Irish ownership,
Actual Capital Expenditure - Land and Buildings,2024,All nationalities of ownership,
Actual Capital Expenditure - Land and Buildings,2024,Irish ownership,
Actual Capital Expenditure - Land and Buildings,2024,Non Irish ownership,
Actual Capital Expenditure- Payments made for licences to use intellectual products,2007,All nationalities of ownership,
Actual Capital Expenditure- Payments made for licences to use intellectual products,2007,Irish ownership,
Actual Capital Expenditure- Payments made for licences to use intellectual products,2007,Non Irish ownership,
Actual Capital Expenditure- Payments made for licences to use intellectual products,2008,All nationalities of ownership,
Actual Capital Expenditure- Payments made for licences to use intellectual products,2008,Irish ownership,
Actual Capital Expenditure- Payments made for licences to use intellectual products,2008,Non Irish ownership,
Actual Capital Expenditure- Payments made for licences to use intellectual products,2009,All nationalities of ownership,23967
Actual Capital Expenditure- Payments made for licences to use intellectual products,2009,Irish ownership,22521
Actual Capital Expenditure- Payments made for licences to use intellectual products,2009,Non Irish ownership,1446
Actual Capital Expenditure- Payments made for licences to use intellectual products,2010,All nationalities of ownership,
Actual Capital Expenditure- Payments made for licences to use intellectual products,2010,Irish ownership,
Actual Capital Expenditure- Payments made for licences to use intellectual products,2010,Non Irish ownership,
Actual Capital Expenditure- Payments made for licences to use intellectual products,2011,All nationalities of ownership,6502
Actual Capital Expenditure- Payments made for licences to use intellectual products,2011,Irish ownership,3334
Actual Capital Expenditure- Payments made for licences to use intellectual products,2011,Non Irish ownership,3168
Actual Capital Expenditure- Payments made for licences to use intellectual products,2012,All nationalities of ownership,
Actual Capital Expenditure- Payments made for licences to use intellectual products,2012,Irish ownership,
Actual Capital Expenditure- Payments made for licences to use intellectual products,2012,Non Irish ownership,
Actual Capital Expenditure- Payments made for licences to use intellectual products,2013,All nationalities of ownership,9901
Actual Capital Expenditure- Payments made for licences to use intellectual products,2013,Irish ownership,4325
Actual Capital Expenditure- Payments made for licences to use intellectual products,2013,Non Irish ownership,5575
Actual Capital Expenditure- Payments made for licences to use intellectual products,2014,All nationalities of ownership,
Actual Capital Expenditure- Payments made for licences to use intellectual products,2014,Irish ownership,
Actual Capital Expenditure- Payments made for licences to use intellectual products,2014,Non Irish ownership,
Actual Capital Expenditure- Payments made for licences to use intellectual products,2015,All nationalities of ownership,12896
Actual Capital Expenditure- Payments made for licences to use intellectual products,2015,Irish ownership,5120
Actual Capital Expenditure- Payments made for licences to use intellectual products,2015,Non Irish ownership,7775
Actual Capital Expenditure- Payments made for licences to use intellectual products,2016,All nationalities of ownership,
Actual Capital Expenditure- Payments made for licences to use intellectual products,2016,Irish ownership,
Actual Capital Expenditure- Payments made for licences to use intellectual products,2016,Non Irish ownership,
Actual Capital Expenditure- Payments made for licences to use intellectual products,2017,All nationalities of ownership,25693
Actual Capital Expenditure- Payments made for licences to use intellectual products,2017,Irish ownership,17829
Actual Capital Expenditure- Payments made for licences to use intellectual products,2017,Non Irish ownership,7864
Actual Capital Expenditure- Payments made for licences to use intellectual products,2018,All nationalities of ownership,
Actual Capital Expenditure- Payments made for licences to use intellectual products,2018,Irish ownership,
Actual Capital Expenditure- Payments made for licences to use intellectual products,2018,Non Irish ownership,
Actual Capital Expenditure- Payments made for licences to use intellectual products,2019,All nationalities of ownership,121484
Actual Capital Expenditure- Payments made for licences to use intellectual products,2019,Irish ownership,3896
Actual Capital Expenditure- Payments made for licences to use intellectual products,2019,Non Irish ownership,117588
Actual Capital Expenditure- Payments made for licences to use intellectual products,2020,All nationalities of ownership,
Actual Capital Expenditure- Payments made for licences to use intellectual products,2020,Irish ownership,
Actual Capital Expenditure- Payments made for licences to use intellectual products,2020,Non Irish ownership,
Actual Capital Expenditure- Payments made for licences to use intellectual products,2021,All nationalities of ownership,21240
Actual Capital Expenditure- Payments made for licences to use intellectual products,2021,Irish ownership,6971
Actual Capital Expenditure- Payments made for licences to use intellectual products,2021,Non Irish ownership,14269
Actual Capital Expenditure- Payments made for licences to use intellectual products,2022,All nationalities of ownership,
Actual Capital Expenditure- Payments made for licences to use intellectual products,2022,Irish ownership,
Actual Capital Expenditure- Payments made for licences to use intellectual products,2022,Non Irish ownership,
