Statistic Label,Year,Nationality of Ownership,Expenditure,VALUE
Enterprises Engaged in Research and Development Activities (%),2021,All nationalities of ownership,"€2,000,000 - €4,999,999",6.6
Enterprises Engaged in Research and Development Activities (%),2021,All nationalities of ownership,"€5,000,000 and over",6.5
Enterprises Engaged in Research and Development Activities (%),2021,Irish ownership,Any expenditure,100
Enterprises Engaged in Research and Development Activities (%),2021,Irish ownership,"€0 - €99,999",40.2
Enterprises Engaged in Research and Development Activities (%),2021,Irish ownership,"€100,000 - €499,999",39.5
Enterprises Engaged in Research and Development Activities (%),2021,Irish ownership,"€500,000 - €1,999,999",15.5
Enterprises Engaged in Research and Development Activities (%),2021,Irish ownership,"€2,000,000 - €4,999,999",2.9
Enterprises Engaged in Research and Development Activities (%),2021,Irish ownership,"€5,000,000 and over",2
Enterprises Engaged in Research and Development Activities (%),2021,Non Irish ownership,Any expenditure,100
Enterprises Engaged in Research and Development Activities (%),2021,Non Irish ownership,"€0 - €99,999",16.9
Enterprises Engaged in Research and Development Activities (%),2021,Non Irish ownership,"€100,000 - €499,999",23.3
Enterprises Engaged in Research and Development Activities (%),2021,Non Irish ownership,"€500,000 - €1,999,999",27.7
Enterprises Engaged in Research and Development Activities (%),2021,Non Irish ownership,"€2,000,000 - €4,999,999",15.1
Enterprises Engaged in Research and Development Activities (%),2021,Non Irish ownership,"€5,000,000 and over",17
Enterprises Engaged in Research and Development Activities (%),2023,All nationalities of ownership,Any expenditure,100
Enterprises Engaged in Research and Development Activities (%),2023,All nationalities of ownership,"€0 - €99,999",34.7
Enterprises Engaged in Research and Development Activities (%),2023,All nationalities of ownership,"€100,000 - €499,999",31.4
Enterprises Engaged in Research and Development Activities (%),2023,All nationalities of ownership,"€500,000 - €1,999,999",19.3
Enterprises Engaged in Research and Development Activities (%),2023,All nationalities of ownership,"€2,000,000 - €4,999,999",7.2
Enterprises Engaged in Research and Development Activities (%),2023,All nationalities of ownership,"€5,000,000 and over",7.4
Enterprises Engaged in Research and Development Activities (%),2023,Irish ownership,Any expenditure,100
Enterprises Engaged in Research and Development Activities (%),2023,Irish ownership,"€0 - €99,999",41.3
Enterprises Engaged in Research and Development Activities (%),2023,Irish ownership,"€100,000 - €499,999",35.4
Enterprises Engaged in Research and Development Activities (%),2023,Irish ownership,"€500,000 - €1,999,999",15.6
Enterprises Engaged in Research and Development Activities (%),2023,Irish ownership,"€2,000,000 - €4,999,999",5.5
Enterprises Engaged in Research and Development Activities (%),2023,Irish ownership,"€5,000,000 and over",2.2
Enterprises Engaged in Research and Development Activities (%),2023,Non Irish ownership,Any expenditure,100
Enterprises Engaged in Research and Development Activities (%),2023,Non Irish ownership,"€0 - €99,999",17.4
Enterprises Engaged in Research and Development Activities (%),2023,Non Irish ownership,"€100,000 - €499,999",20.7
Enterprises Engaged in Research and Development Activities (%),2023,Non Irish ownership,"€500,000 - €1,999,999",29.2
Enterprises Engaged in Research and Development Activities (%),2023,Non Irish ownership,"€2,000,000 - €4,999,999",11.6
Enterprises Engaged in Research and Development Activities (%),2023,Non Irish ownership,"€5,000,000 and over",21
