statistic_label,year,nationality_of_ownership,value
Estimated Capital Expenditure - Software purchased wholly for Research and Development purposes,2020,All nationalities,15778.0
Estimated Capital Expenditure - Software purchased wholly for Research and Development purposes,2020,Irish ownership,10514.0
Estimated Capital Expenditure - Software purchased wholly for Research and Development purposes,2020,Non-Irish ownership,5264.0
Estimated Capital Expenditure - Software purchased wholly for Research and Development purposes,2021,All nationalities,187171.0
Estimated Capital Expenditure - Software purchased wholly for Research and Development purposes,2021,Irish ownership,187171.0
Estimated Capital Expenditure - Software purchased wholly for Research and Development purposes,2021,Non-Irish ownership,187171.0
Estimated Capital Expenditure - Software purchased wholly for Research and Development purposes,2022,All nationalities,187171.0
Estimated Capital Expenditure - Software purchased wholly for Research and Development purposes,2022,Irish ownership,187171.0
Estimated Capital Expenditure - Software purchased wholly for Research and Development purposes,2022,Non-Irish ownership,187171.0
Estimated Capital Expenditure - Software purchased wholly for Research and Development purposes,2023,All nationalities,187171.0
Estimated Capital Expenditure - Software purchased wholly for Research and Development purposes,2023,Irish ownership,187171.0
Estimated Capital Expenditure - Software purchased wholly for Research and Development purposes,2023,Non-Irish ownership,187171.0
Estimated Capital Expenditure - Software purchased wholly for Research and Development purposes,2024,All nationalities,187171.0
Estimated Capital Expenditure - Software purchased wholly for Research and Development purposes,2024,Irish ownership,187171.0
Estimated Capital Expenditure - Software purchased wholly for Research and Development purposes,2024,Non-Irish ownership,187171.0
Estimated Capital Expenditure - Software development by company in-house and used in-house,2007,All nationalities,187171.0
Estimated Capital Expenditure - Software development by company in-house and used in-house,2007,Irish ownership,187171.0
Estimated Capital Expenditure - Software development by company in-house and used in-house,2007,Non-Irish ownership,187171.0
Estimated Capital Expenditure - Software development by company in-house and used in-house,2008,All nationalities,187171.0
Estimated Capital Expenditure - Software development by company in-house and used in-house,2008,Irish ownership,187171.0
Estimated Capital Expenditure - Software development by company in-house and used in-house,2008,Non-Irish ownership,187171.0
Estimated Capital Expenditure - Software development by company in-house and used in-house,2009,All nationalities,187171.0
Estimated Capital Expenditure - Software development by company in-house and used in-house,2009,Irish ownership,187171.0
Estimated Capital Expenditure - Software development by company in-house and used in-house,2009,Non-Irish ownership,187171.0
Estimated Capital Expenditure - Software development by company in-house and used in-house,2010,All nationalities,1947.0
Estimated Capital Expenditure - Software development by company in-house and used in-house,2010,Irish ownership,1701.0
Estimated Capital Expenditure - Software development by company in-house and used in-house,2010,Non-Irish ownership,246.0
Estimated Capital Expenditure - Software development by company in-house and used in-house,2011,All nationalities,187171.0
Estimated Capital Expenditure - Software development by company in-house and used in-house,2011,Irish ownership,187171.0
Estimated Capital Expenditure - Software development by company in-house and used in-house,2011,Non-Irish ownership,187171.0
Estimated Capital Expenditure - Software development by company in-house and used in-house,2012,All nationalities,6612.0
Estimated Capital Expenditure - Software development by company in-house and used in-house,2012,Irish ownership,1821.0
Estimated Capital Expenditure - Software development by company in-house and used in-house,2012,Non-Irish ownership,4791.0
Estimated Capital Expenditure - Software development by company in-house and used in-house,2013,All nationalities,187171.0
Estimated Capital Expenditure - Software development by company in-house and used in-house,2013,Irish ownership,187171.0
Estimated Capital Expenditure - Software development by company in-house and used in-house,2013,Non-Irish ownership,187171.0
Estimated Capital Expenditure - Software development by company in-house and used in-house,2014,All nationalities,22902.0
Estimated Capital Expenditure - Software development by company in-house and used in-house,2014,Irish ownership,19991.0
Estimated Capital Expenditure - Software development by company in-house and used in-house,2014,Non-Irish ownership,2911.0
Estimated Capital Expenditure - Software development by company in-house and used in-house,2015,All nationalities,187171.0
Estimated Capital Expenditure - Software development by company in-house and used in-house,2015,Irish ownership,187171.0
Estimated Capital Expenditure - Software development by company in-house and used in-house,2015,Non-Irish ownership,187171.0
Estimated Capital Expenditure - Software development by company in-house and used in-house,2016,All nationalities,25904.0
Estimated Capital Expenditure - Software development by company in-house and used in-house,2016,Irish ownership,21195.0
Estimated Capital Expenditure - Software development by company in-house and used in-house,2016,Non-Irish ownership,4709.0
Estimated Capital Expenditure - Software development by company in-house and used in-house,2017,All nationalities,187171.0
Estimated Capital Expenditure - Software development by company in-house and used in-house,2017,Irish ownership,187171.0
Estimated Capital Expenditure - Software development by company in-house and used in-house,2017,Non-Irish ownership,187171.0
Estimated Capital Expenditure - Software development by company in-house and used in-house,2018,All nationalities,36557.0
Estimated Capital Expenditure - Software development by company in-house and used in-house,2018,Irish ownership,33914.0
Estimated Capital Expenditure - Software development by company in-house and used in-house,2018,Non-Irish ownership,2642.0
Estimated Capital Expenditure - Software development by company in-house and used in-house,2019,All nationalities,187171.0
Estimated Capital Expenditure - Software development by company in-house and used in-house,2019,Irish ownership,187171.0
Estimated Capital Expenditure - Software development by company in-house and used in-house,2019,Non-Irish ownership,187171.0
Estimated Capital Expenditure - Software development by company in-house and used in-house,2020,All nationalities,226619.0
Estimated Capital Expenditure - Software development by company in-house and used in-house,2020,Irish ownership,188784.0
Estimated Capital Expenditure - Software development by company in-house and used in-house,2020,Non-Irish ownership,37835.0
Estimated Capital Expenditure - Software development by company in-house and used in-house,2021,All nationalities,187171.0
Estimated Capital Expenditure - Software development by company in-house and used in-house,2021,Irish ownership,187171.0
Estimated Capital Expenditure - Software development by company in-house and used in-house,2021,Non-Irish ownership,187171.0
Estimated Capital Expenditure - Software development by company in-house and used in-house,2022,All nationalities,187171.0
Estimated Capital Expenditure - Software development by company in-house and used in-house,2022,Irish ownership,187171.0
Estimated Capital Expenditure - Software development by company in-house and used in-house,2022,Non-Irish ownership,187171.0
Estimated Capital Expenditure - Software development by company in-house and used in-house,2023,All nationalities,187171.0
Estimated Capital Expenditure - Software development by company in-house and used in-house,2023,Irish ownership,187171.0
Estimated Capital Expenditure - Software development by company in-house and used in-house,2023,Non-Irish ownership,187171.0
Estimated Capital Expenditure - Software development by company in-house and used in-house,2024,All nationalities,187171.0
Estimated Capital Expenditure - Software development by company in-house and used in-house,2024,Irish ownership,187171.0
Estimated Capital Expenditure - Software development by company in-house and used in-house,2024,Non-Irish ownership,187171.0
Estimated Total Capital Expenditure,2007,All nationalities,187171.0
Estimated Total Capital Expenditure,2007,Irish ownership,187171.0
Estimated Total Capital Expenditure,2007,Non-Irish ownership,187171.0
Estimated Total Capital Expenditure,2008,All nationalities,271072.0
Estimated Total Capital Expenditure,2008,Irish ownership,52375.0
Estimated Total Capital Expenditure,2008,Non-Irish ownership,218698.0
Estimated Total Capital Expenditure,2009,All nationalities,187171.0
Estimated Total Capital Expenditure,2009,Irish ownership,187171.0
Estimated Total Capital Expenditure,2009,Non-Irish ownership,187171.0
Estimated Total Capital Expenditure,2010,All nationalities,301427.0
Estimated Total Capital Expenditure,2010,Irish ownership,93311.0
Estimated Total Capital Expenditure,2010,Non-Irish ownership,208115.0
Estimated Total Capital Expenditure,2011,All nationalities,187171.0
Estimated Total Capital Expenditure,2011,Irish ownership,187171.0
Estimated Total Capital Expenditure,2011,Non-Irish ownership,187171.0
Estimated Total Capital Expenditure,2012,All nationalities,126964.0
Estimated Total Capital Expenditure,2012,Irish ownership,33809.0
Estimated Total Capital Expenditure,2012,Non-Irish ownership,93155.0
Estimated Total Capital Expenditure,2013,All nationalities,187171.0
Estimated Total Capital Expenditure,2013,Irish ownership,187171.0
Estimated Total Capital Expenditure,2013,Non-Irish ownership,187171.0
Estimated Total Capital Expenditure,2014,All nationalities,163922.0
Estimated Total Capital Expenditure,2014,Irish ownership,57678.0
Estimated Total Capital Expenditure,2014,Non-Irish ownership,106244.0
Estimated Total Capital Expenditure,2015,All nationalities,187171.0
Estimated Total Capital Expenditure,2015,Irish ownership,187171.0
Estimated Total Capital Expenditure,2015,Non-Irish ownership,187171.0
Estimated Total Capital Expenditure,2016,All nationalities,202214.0
Estimated Total Capital Expenditure,2016,Irish ownership,84224.0
Estimated Total Capital Expenditure,2016,Non-Irish ownership,117990.0
Estimated Total Capital Expenditure,2017,All nationalities,187171.0
Estimated Total Capital Expenditure,2017,Irish ownership,187171.0
Estimated Total Capital Expenditure,2017,Non-Irish ownership,187171.0
Estimated Total Capital Expenditure,2018,All nationalities,236182.0
Estimated Total Capital Expenditure,2018,Irish ownership,99561.0
Estimated Total Capital Expenditure,2018,Non-Irish ownership,136621.0
Estimated Total Capital Expenditure,2019,All nationalities,187171.0
Estimated Total Capital Expenditure,2019,Irish ownership,187171.0
Estimated Total Capital Expenditure,2019,Non-Irish ownership,187171.0
Estimated Total Capital Expenditure,2020,All nationalities,854451.0
Estimated Total Capital Expenditure,2020,Irish ownership,240355.0
Estimated Total Capital Expenditure,2020,Non-Irish ownership,614096.0
Estimated Total Capital Expenditure,2021,All nationalities,187171.0
Estimated Total Capital Expenditure,2021,Irish ownership,187171.0
Estimated Total Capital Expenditure,2021,Non-Irish ownership,187171.0
Estimated Total Capital Expenditure,2022,All nationalities,2408772.0
Estimated Total Capital Expenditure,2022,Irish ownership,187171.0
Estimated Total Capital Expenditure,2022,Non-Irish ownership,187171.0
Estimated Total Capital Expenditure,2023,All nationalities,187171.0
Estimated Total Capital Expenditure,2023,Irish ownership,187171.0
Estimated Total Capital Expenditure,2023,Non-Irish ownership,187171.0
Estimated Total Capital Expenditure,2024,All nationalities,1885354.0
Estimated Total Capital Expenditure,2024,Irish ownership,187171.0
Estimated Total Capital Expenditure,2024,Non-Irish ownership,187171.0
Estimated Total Research and Development Expenditure,2007,All nationalities,187171.0
Estimated Total Research and Development Expenditure,2007,Irish ownership,187171.0
Estimated Total Research and Development Expenditure,2007,Non-Irish ownership,187171.0
Estimated Total Research and Development Expenditure,2008,All nationalities,1686732.0
Estimated Total Research and Development Expenditure,2008,Irish ownership,521449.0
Estimated Total Research and Development Expenditure,2008,Non-Irish ownership,1165283.0
Estimated Total Research and Development Expenditure,2009,All nationalities,187171.0
Estimated Total Research and Development Expenditure,2009,Irish ownership,187171.0
Estimated Total Research and Development Expenditure,2009,Non-Irish ownership,187171.0
Estimated Total Research and Development Expenditure,2010,All nationalities,1833608.0
Estimated Total Research and Development Expenditure,2010,Irish ownership,583452.0
Estimated Total Research and Development Expenditure,2010,Non-Irish ownership,1250155.0
Estimated Total Research and Development Expenditure,2011,All nationalities,187171.0
Estimated Total Research and Development Expenditure,2011,Irish ownership,187171.0
Estimated Total Research and Development Expenditure,2011,Non-Irish ownership,187171.0
Estimated Total Research and Development Expenditure,2012,All nationalities,1859369.0
Estimated Total Research and Development Expenditure,2012,Irish ownership,577747.0
Estimated Total Research and Development Expenditure,2012,Non-Irish ownership,1281622.0
Estimated Total Research and Development Expenditure,2013,All nationalities,187171.0
Estimated Total Research and Development Expenditure,2013,Irish ownership,187171.0
Estimated Total Research and Development Expenditure,2013,Non-Irish ownership,187171.0
Estimated Total Research and Development Expenditure,2014,All nationalities,2091151.0
Estimated Total Research and Development Expenditure,2014,Irish ownership,754857.0
Estimated Total Research and Development Expenditure,2014,Non-Irish ownership,1336295.0
Estimated Total Research and Development Expenditure,2015,All nationalities,187171.0
Estimated Total Research and Development Expenditure,2015,Irish ownership,187171.0
Estimated Total Research and Development Expenditure,2015,Non-Irish ownership,187171.0
Estimated Total Research and Development Expenditure,2016,All nationalities,2292825.0
Estimated Total Research and Development Expenditure,2016,Irish ownership,926004.0
Estimated Total Research and Development Expenditure,2016,Non-Irish ownership,1366821.0
Estimated Total Research and Development Expenditure,2017,All nationalities,187171.0
Estimated Total Research and Development Expenditure,2017,Irish ownership,187171.0
Estimated Total Research and Development Expenditure,2017,Non-Irish ownership,187171.0
Estimated Total Research and Development Expenditure,2018,All nationalities,2777748.0
Estimated Total Research and Development Expenditure,2018,Irish ownership,967088.0
Estimated Total Research and Development Expenditure,2018,Non-Irish ownership,1810659.0
Estimated Total Research and Development Expenditure,2019,All nationalities,187171.0
Estimated Total Research and Development Expenditure,2019,Irish ownership,187171.0
Estimated Total Research and Development Expenditure,2019,Non-Irish ownership,187171.0
Estimated Total Research and Development Expenditure,2020,All nationalities,3391165.0
Estimated Total Research and Development Expenditure,2020,Irish ownership,977845.0
Estimated Total Research and Development Expenditure,2020,Non-Irish ownership,2413320.0
Estimated Total Research and Development Expenditure,2021,All nationalities,187171.0
Estimated Total Research and Development Expenditure,2021,Irish ownership,187171.0
Estimated Total Research and Development Expenditure,2021,Non-Irish ownership,187171.0
Estimated Total Research and Development Expenditure,2022,All nationalities,6994975.0
Estimated Total Research and Development Expenditure,2022,Irish ownership,1143697.0
Estimated Total Research and Development Expenditure,2022,Non-Irish ownership,5851278.0
Estimated Total Research and Development Expenditure,2023,All nationalities,187171.0
Estimated Total Research and Development Expenditure,2023,Irish ownership,187171.0
Estimated Total Research and Development Expenditure,2023,Non-Irish ownership,187171.0
Estimated Total Research and Development Expenditure,2024,All nationalities,6589565.0
Estimated Total Research and Development Expenditure,2024,Irish ownership,1012941.0
Estimated Total Research and Development Expenditure,2024,Non-Irish ownership,5576624.0
Actual Current Expenditure - Labour Costs,2007,All nationalities,843847.0
Actual Current Expenditure - Labour Costs,2007,Irish ownership,280135.0
Actual Current Expenditure - Labour Costs,2007,Non-Irish ownership,563712.0
Actual Current Expenditure - Labour Costs,2008,All nationalities,187171.0
Actual Current Expenditure - Labour Costs,2008,Irish ownership,187171.0
Actual Current Expenditure - Labour Costs,2008,Non-Irish ownership,187171.0
Actual Current Expenditure - Labour Costs,2009,All nationalities,947497.0
Actual Current Expenditure - Labour Costs,2009,Irish ownership,307620.0
Actual Current Expenditure - Labour Costs,2009,Non-Irish ownership,639877.0
Actual Current Expenditure - Labour Costs,2010,All nationalities,187171.0
Actual Current Expenditure - Labour Costs,2010,Irish ownership,187171.0
Actual Current Expenditure - Labour Costs,2010,Non-Irish ownership,187171.0
Actual Current Expenditure - Labour Costs,2011,All nationalities,1006308.0
Actual Current Expenditure - Labour Costs,2011,Irish ownership,338246.0
Actual Current Expenditure - Labour Costs,2011,Non-Irish ownership,668062.0
Actual Current Expenditure - Labour Costs,2012,All nationalities,187171.0
Actual Current Expenditure - Labour Costs,2012,Irish ownership,187171.0
Actual Current Expenditure - Labour Costs,2012,Non-Irish ownership,187171.0
Actual Current Expenditure - Labour Costs,2013,All nationalities,1238903.0
Actual Current Expenditure - Labour Costs,2013,Irish ownership,451967.0
Actual Current Expenditure - Labour Costs,2013,Non-Irish ownership,786936.0
Actual Current Expenditure - Labour Costs,2014,All nationalities,187171.0
Actual Current Expenditure - Labour Costs,2014,Irish ownership,187171.0
Actual Current Expenditure - Labour Costs,2014,Non-Irish ownership,187171.0
Actual Current Expenditure - Labour Costs,2015,All nationalities,1349977.0
Actual Current Expenditure - Labour Costs,2015,Irish ownership,523227.0
Actual Current Expenditure - Labour Costs,2015,Non-Irish ownership,826751.0
Actual Current Expenditure - Labour Costs,2016,All nationalities,187171.0
Actual Current Expenditure - Labour Costs,2016,Irish ownership,187171.0
Actual Current Expenditure - Labour Costs,2016,Non-Irish ownership,187171.0
Actual Current Expenditure - Labour Costs,2017,All nationalities,1651343.0
Actual Current Expenditure - Labour Costs,2017,Irish ownership,549943.0
Actual Current Expenditure - Labour Costs,2017,Non-Irish ownership,1101400.0
Actual Current Expenditure - Labour Costs,2018,All nationalities,187171.0
Actual Current Expenditure - Labour Costs,2018,Irish ownership,187171.0
Actual Current Expenditure - Labour Costs,2018,Non-Irish ownership,187171.0
Actual Current Expenditure - Labour Costs,2019,All nationalities,1690211.0
Actual Current Expenditure - Labour Costs,2019,Irish ownership,468571.0
Actual Current Expenditure - Labour Costs,2019,Non-Irish ownership,1221640.0
Actual Current Expenditure - Labour Costs,2020,All nationalities,187171.0
Actual Current Expenditure - Labour Costs,2020,Irish ownership,187171.0
Actual Current Expenditure - Labour Costs,2020,Non-Irish ownership,187171.0
Actual Current Expenditure - Labour Costs,2021,All nationalities,2045309.0
Actual Current Expenditure - Labour Costs,2021,Irish ownership,582517.0
Actual Current Expenditure - Labour Costs,2021,Non-Irish ownership,1462792.0
Actual Current Expenditure - Labour Costs,2022,All nationalities,187171.0
Actual Current Expenditure - Labour Costs,2022,Irish ownership,187171.0
Actual Current Expenditure - Labour Costs,2022,Non-Irish ownership,187171.0
Actual Current Expenditure - Labour Costs,2023,All nationalities,2616850.0
Actual Current Expenditure - Labour Costs,2023,Irish ownership,187171.0
Actual Current Expenditure - Labour Costs,2023,Non-Irish ownership,187171.0
Actual Current Expenditure - Labour Costs,2024,All nationalities,187171.0
Actual Current Expenditure - Labour Costs,2024,Irish ownership,187171.0
Actual Current Expenditure - Labour Costs,2024,Non-Irish ownership,187171.0
Actual Current Expenditure - Other Current Costs,2007,All nationalities,480067.0
Actual Current Expenditure - Other Current Costs,2007,Irish ownership,130492.0
Actual Current Expenditure - Other Current Costs,2007,Non-Irish ownership,349576.0
Actual Current Expenditure - Other Current Costs,2008,All nationalities,187171.0
Actual Current Expenditure - Other Current Costs,2008,Irish ownership,187171.0
Actual Current Expenditure - Other Current Costs,2008,Non-Irish ownership,187171.0
Actual Current Expenditure - Other Current Costs,2009,All nationalities,595346.0
Actual Current Expenditure - Other Current Costs,2009,Irish ownership,164557.0
Actual Current Expenditure - Other Current Costs,2009,Non-Irish ownership,430789.0
Actual Current Expenditure - Other Current Costs,2010,All nationalities,187171.0
Actual Current Expenditure - Other Current Costs,2010,Irish ownership,187171.0
Actual Current Expenditure - Other Current Costs,2010,Non-Irish ownership,187171.0
Actual Current Expenditure - Other Current Costs,2011,All nationalities,600603.0
Actual Current Expenditure - Other Current Costs,2011,Irish ownership,157855.0
Actual Current Expenditure - Other Current Costs,2011,Non-Irish ownership,442748.0
Actual Current Expenditure - Other Current Costs,2012,All nationalities,187171.0
Actual Current Expenditure - Other Current Costs,2012,Irish ownership,187171.0
Actual Current Expenditure - Other Current Costs,2012,Non-Irish ownership,187171.0
Actual Current Expenditure - Other Current Costs,2013,All nationalities,635761.0
Actual Current Expenditure - Other Current Costs,2013,Irish ownership,193098.0
Actual Current Expenditure - Other Current Costs,2013,Non-Irish ownership,442663.0
Actual Current Expenditure - Other Current Costs,2014,All nationalities,187171.0
Actual Current Expenditure - Other Current Costs,2014,Irish ownership,187171.0
Actual Current Expenditure - Other Current Costs,2014,Non-Irish ownership,187171.0
Actual Current Expenditure - Other Current Costs,2015,All nationalities,725978.0
Actual Current Expenditure - Other Current Costs,2015,Irish ownership,227524.0
Actual Current Expenditure - Other Current Costs,2015,Non-Irish ownership,498454.0
Actual Current Expenditure - Other Current Costs,2016,All nationalities,187171.0
Actual Current Expenditure - Other Current Costs,2016,Irish ownership,187171.0
Actual Current Expenditure - Other Current Costs,2016,Non-Irish ownership,187171.0
Actual Current Expenditure - Other Current Costs,2017,All nationalities,840831.0
Actual Current Expenditure - Other Current Costs,2017,Irish ownership,213816.0
Actual Current Expenditure - Other Current Costs,2017,Non-Irish ownership,627015.0
Actual Current Expenditure - Other Current Costs,2018,All nationalities,187171.0
Actual Current Expenditure - Other Current Costs,2018,Irish ownership,187171.0
Actual Current Expenditure - Other Current Costs,2018,Non-Irish ownership,187171.0
Actual Current Expenditure - Other Current Costs,2019,All nationalities,1010378.0
Actual Current Expenditure - Other Current Costs,2019,Irish ownership,256408.0
Actual Current Expenditure - Other Current Costs,2019,Non-Irish ownership,753970.0
Actual Current Expenditure - Other Current Costs,2020,All nationalities,187171.0
Actual Current Expenditure - Other Current Costs,2020,Irish ownership,187171.0
Actual Current Expenditure - Other Current Costs,2020,Non-Irish ownership,187171.0
Actual Current Expenditure - Other Current Costs,2021,All nationalities,1393645.0
Actual Current Expenditure - Other Current Costs,2021,Irish ownership,382944.0
Actual Current Expenditure - Other Current Costs,2021,Non-Irish ownership,1010701.0
Actual Current Expenditure - Other Current Costs,2022,All nationalities,187171.0
Actual Current Expenditure - Other Current Costs,2022,Irish ownership,187171.0
Actual Current Expenditure - Other Current Costs,2022,Non-Irish ownership,187171.0
Actual Current Expenditure - Other Current Costs,2023,All nationalities,1975102.0
Actual Current Expenditure - Other Current Costs,2023,Irish ownership,187171.0
Actual Current Expenditure - Other Current Costs,2023,Non-Irish ownership,187171.0
Actual Current Expenditure - Other Current Costs,2024,All nationalities,187171.0
Actual Current Expenditure - Other Current Costs,2024,Irish ownership,187171.0
Actual Current Expenditure - Other Current Costs,2024,Non-Irish ownership,187171.0
Actual Total Current Expenditure,2007,All nationalities,1323914.0
Actual Total Current Expenditure,2007,Irish ownership,410627.0
Actual Total Current Expenditure,2007,Non-Irish ownership,913287.0
Actual Total Current Expenditure,2008,All nationalities,187171.0
Actual Total Current Expenditure,2008,Irish ownership,187171.0
Actual Total Current Expenditure,2008,Non-Irish ownership,187171.0
Actual Total Current Expenditure,2009,All nationalities,1542843.0
Actual Total Current Expenditure,2009,Irish ownership,472177.0
Actual Total Current Expenditure,2009,Non-Irish ownership,1070666.0
Actual Total Current Expenditure,2010,All nationalities,187171.0
Actual Total Current Expenditure,2010,Irish ownership,187171.0
Actual Total Current Expenditure,2010,Non-Irish ownership,187171.0
Actual Total Current Expenditure,2011,All nationalities,1606911.0
Actual Total Current Expenditure,2011,Irish ownership,496101.0
Actual Total Current Expenditure,2011,Non-Irish ownership,1110810.0
Actual Total Current Expenditure,2012,All nationalities,187171.0
Actual Total Current Expenditure,2012,Irish ownership,187171.0
Actual Total Current Expenditure,2012,Non-Irish ownership,187171.0
Actual Total Current Expenditure,2013,All nationalities,1874663.0
Actual Total Current Expenditure,2013,Irish ownership,645065.0
Actual Total Current Expenditure,2013,Non-Irish ownership,1229598.0
Actual Total Current Expenditure,2014,All nationalities,187171.0
Actual Total Current Expenditure,2014,Irish ownership,187171.0
Actual Total Current Expenditure,2014,Non-Irish ownership,187171.0
Actual Total Current Expenditure,2015,All nationalities,2075955.0
Actual Total Current Expenditure,2015,Irish ownership,750750.0
Actual Total Current Expenditure,2015,Non-Irish ownership,1325205.0
Actual Total Current Expenditure,2016,All nationalities,187171.0
Actual Total Current Expenditure,2016,Irish ownership,187171.0
Actual Total Current Expenditure,2016,Non-Irish ownership,187171.0
Actual Total Current Expenditure,2017,All nationalities,2492173.0
Actual Total Current Expenditure,2017,Irish ownership,763759.0
Actual Total Current Expenditure,2017,Non-Irish ownership,1728414.0
Actual Total Current Expenditure,2018,All nationalities,187171.0
Actual Total Current Expenditure,2018,Irish ownership,187171.0
Actual Total Current Expenditure,2018,Non-Irish ownership,187171.0
Actual Total Current Expenditure,2019,All nationalities,2700588.0
Actual Total Current Expenditure,2019,Irish ownership,724978.0
Actual Total Current Expenditure,2019,Non-Irish ownership,1975610.0
Actual Total Current Expenditure,2020,All nationalities,187171.0
Actual Total Current Expenditure,2020,Irish ownership,187171.0
Actual Total Current Expenditure,2020,Non-Irish ownership,187171.0
Actual Total Current Expenditure,2021,All nationalities,3438954.0
Actual Total Current Expenditure,2021,Irish ownership,965461.0
Actual Total Current Expenditure,2021,Non-Irish ownership,2473493.0
Actual Total Current Expenditure,2022,All nationalities,187171.0
Actual Total Current Expenditure,2022,Irish ownership,187171.0
Actual Total Current Expenditure,2022,Non-Irish ownership,187171.0
Actual Total Current Expenditure,2023,All nationalities,4591952.0
Actual Total Current Expenditure,2023,Irish ownership,187171.0
Actual Total Current Expenditure,2023,Non-Irish ownership,187171.0
Actual Total Current Expenditure,2024,All nationalities,187171.0
Actual Total Current Expenditure,2024,Irish ownership,187171.0
Actual Total Current Expenditure,2024,Non-Irish ownership,187171.0
Actual Capital Expenditure - Land and Buildings,2007,All nationalities,73566.0
Actual Capital Expenditure - Land and Buildings,2007,Irish ownership,7410.0
Actual Capital Expenditure - Land and Buildings,2007,Non-Irish ownership,66157.0
Actual Capital Expenditure - Land and Buildings,2008,All nationalities,187171.0
Actual Capital Expenditure - Land and Buildings,2008,Irish ownership,187171.0
Actual Capital Expenditure - Land and Buildings,2008,Non-Irish ownership,187171.0
Actual Capital Expenditure - Land and Buildings,2009,All nationalities,49613.0
Actual Capital Expenditure - Land and Buildings,2009,Irish ownership,12425.0
Actual Capital Expenditure - Land and Buildings,2009,Non-Irish ownership,37189.0
Actual Capital Expenditure - Land and Buildings,2010,All nationalities,187171.0
Actual Capital Expenditure - Land and Buildings,2010,Irish ownership,187171.0
Actual Capital Expenditure - Land and Buildings,2010,Non-Irish ownership,187171.0
Actual Capital Expenditure - Land and Buildings,2011,All nationalities,32188.0
Actual Capital Expenditure - Land and Buildings,2011,Irish ownership,11740.0
Actual Capital Expenditure - Land and Buildings,2011,Non-Irish ownership,20447.0
Actual Capital Expenditure - Land and Buildings,2012,All nationalities,187171.0
Actual Capital Expenditure - Land and Buildings,2012,Irish ownership,187171.0
Actual Capital Expenditure - Land and Buildings,2012,Non-Irish ownership,187171.0
Actual Capital Expenditure - Land and Buildings,2013,All nationalities,29664.0
Actual Capital Expenditure - Land and Buildings,2013,Irish ownership,11233.0
Actual Capital Expenditure - Land and Buildings,2013,Non-Irish ownership,18431.0
Actual Capital Expenditure - Land and Buildings,2014,All nationalities,187171.0
Actual Capital Expenditure - Land and Buildings,2014,Irish ownership,187171.0
Actual Capital Expenditure - Land and Buildings,2014,Non-Irish ownership,187171.0
Actual Capital Expenditure - Land and Buildings,2015,All nationalities,28909.0
Actual Capital Expenditure - Land and Buildings,2015,Irish ownership,8093.0
Actual Capital Expenditure - Land and Buildings,2015,Non-Irish ownership,20815.0
Actual Capital Expenditure - Land and Buildings,2016,All nationalities,187171.0
Actual Capital Expenditure - Land and Buildings,2016,Irish ownership,187171.0
Actual Capital Expenditure - Land and Buildings,2016,Non-Irish ownership,187171.0
Actual Capital Expenditure - Land and Buildings,2017,All nationalities,82480.0
Actual Capital Expenditure - Land and Buildings,2017,Irish ownership,15357.0
Actual Capital Expenditure - Land and Buildings,2017,Non-Irish ownership,67122.0
Actual Capital Expenditure - Land and Buildings,2018,All nationalities,187171.0
Actual Capital Expenditure - Land and Buildings,2018,Irish ownership,187171.0
Actual Capital Expenditure - Land and Buildings,2018,Non-Irish ownership,187171.0
Actual Capital Expenditure - Land and Buildings,2019,All nationalities,36597.0
Actual Capital Expenditure - Land and Buildings,2019,Irish ownership,5380.0
Actual Capital Expenditure - Land and Buildings,2019,Non-Irish ownership,31217.0
Actual Capital Expenditure - Land and Buildings,2020,All nationalities,187171.0
Actual Capital Expenditure - Land and Buildings,2020,Irish ownership,187171.0
Actual Capital Expenditure - Land and Buildings,2020,Non-Irish ownership,187171.0
Actual Capital Expenditure - Land and Buildings,2021,All nationalities,70011.0
Actual Capital Expenditure - Land and Buildings,2021,Irish ownership,32585.0
Actual Capital Expenditure - Land and Buildings,2021,Non-Irish ownership,37426.0
Actual Capital Expenditure - Land and Buildings,2022,All nationalities,187171.0
Actual Capital Expenditure - Land and Buildings,2022,Irish ownership,187171.0
Actual Capital Expenditure - Land and Buildings,2022,Non-Irish ownership,187171.0
Actual Capital Expenditure - Land and Buildings,2023,All nationalities,187171.0
Actual Capital Expenditure - Land and Buildings,2023,Irish ownership,187171.0
Actual Capital Expenditure - Land and Buildings,2023,Non-Irish ownership,187171.0
Actual Capital Expenditure - Land and Buildings,2024,All nationalities,187171.0
Actual Capital Expenditure - Land and Buildings,2024,Irish ownership,187171.0
Actual Capital Expenditure - Land and Buildings,2024,Non-Irish ownership,187171.0
Actual Capital Expenditure- Payments made for licences to use intellectual products,2007,All nationalities,187171.0
Actual Capital Expenditure- Payments made for licences to use intellectual products,2007,Irish ownership,187171.0
Actual Capital Expenditure- Payments made for licences to use intellectual products,2007,Non-Irish ownership,187171.0
Actual Capital Expenditure- Payments made for licences to use intellectual products,2008,All nationalities,187171.0
Actual Capital Expenditure- Payments made for licences to use intellectual products,2008,Irish ownership,187171.0
Actual Capital Expenditure- Payments made for licences to use intellectual products,2008,Non-Irish ownership,187171.0
Actual Capital Expenditure- Payments made for licences to use intellectual products,2009,All nationalities,23967.0
Actual Capital Expenditure- Payments made for licences to use intellectual products,2009,Irish ownership,22521.0
